player1.cards.list,player2.cards.list,check
2800001828000017280000002600006426000025260000232600002126000004,2800001128000004280000032700000626000041260000302600002626000011,1
2800001828000017270000062600007426000064260000432600002126000015,2800001028000009280000052700000926000042260000342600001526000000,1
2800001828000015280000102800000927000003260000392600001426000000,2800001128000008280000042600004326000042260000212600001126000007,1
2800001828000015270000022600006426000057260000342600000226000000,2800000827000009260000512600003726000015260000142600001226000011,0
2800001828000014280000112700000927000006260000642600002126000011,2800001128000001270000062600006426000033260000242600001026000000,1
2800001828000014280000112700000026000072260000592600003026000010,2800001028000009280000052700000926000042260000342600001526000000,1
2800001828000014280000112700000026000072260000592600003026000010,2800001228000011280000072600004526000037260000212600001026000000,0
2800001828000014280000112700000026000059260000302600001426000010,2800000126000041260000402600003226000017260000162600001126000006,1
2800001828000014280000012700000026000059260000402600003826000030,2800001228000011260000852600008026000072260000402600003726000010,0
2800001828000014280000012700000026000040260000302600002126000010,2800001728000000270000042600005926000049260000472600001726000002,1
2800001828000014280000002700000026000024260000142600001126000010,2800000927000010260000412600004026000035260000142600001126000003,1
2800001828000012260000962600009326000040260000372600002526000021,2800001228000008260000452600004226000034260000212600001226000000,1
2800001828000011280000002700000026000072260000302600002126000010,2800000428000001260000742600006426000055260000402600001826000004,1
2800001828000011270000062600006426000041260000212600001126000006,2800001128000004270000062600006426000058260000552600004026000011,1
2800001828000011270000002600008426000072260000302600002126000010,2800000928000008260000622600004226000036260000112600000426000000,1
2800001828000009270000002600010326000042260000402600002126000010,2800000827000006260000552600003126000023260000212600000726000000,0
2800001828000008260000582600005526000032260000182600001426000005,2800000127000000260000602600004526000041260000402600002126000011,0
2800001828000001270000122600004026000034260000212600000526000000,2800001128000004260000422600003426000026260000232600001826000000,1
2800001728000015280000102800000926000052260000442600002726000016,2800001228000008260000452600004226000034260000212600001226000000,1
2800001728000015280000072600005126000042260000152600000426000000,2800001128000004270000062600006426000058260000552600004026000011,1
2800001728000015280000042600007226000064260000552600004926000011,2800001128000000270000002600003826000030260000212600001426000010,0
2800001728000014280000112700000426000021260000142600001026000000,2800001428000011270000002600006426000042260000212600001126000000,0
2800001728000011280000042600005526000041260000182600000726000000,2800000828000000260000492600004226000038260000212600001126000002,0
2800001728000011280000012600004926000043260000322600001426000011,2800001728000000270000062700000226000084260000382600001426000010,0
2800001728000011280000002700000827000000260001032600002526000023,2800001028000009280000052700000926000042260000342600001526000000,1
2800001728000011270000002600008426000064260000212600001126000010,2800001128000000270000002600003826000030260000212600001426000010,0
2800001728000011260000642600005526000030260000182600001226000006,2800001128000004270000062600006426000058260000552600004026000011,0
2800001728000010280000012600003426000025260000072600000526000003,2800000827000006260000552600003126000023260000212600000726000000,1
2800001728000010280000012600001326000012260000072600000526000003,2800000827000009260000512600003726000015260000142600001226000011,1
